"CORP_ID"	"DECADE"	"YEAR"	"SUBJ"	"CXN"	"VERB"
5370264	"1830s"	1830	"he"	"'d"	"make"
5370522	"1830s"	1830	"you"	"'d"	"speak"
5371055	"1830s"	1830	"you"	"'d"	"like"
5434639	"1830s"	1830	"I"	"'d"	"swear"
5439718	"1830s"	1830	"you"	"'d"	"come"
5480323	"1830s"	1830	"you"	"'d"	"have"
5497526	"1830s"	1830	"they"	"'d"	"make"
5586963	"1830s"	1830	"I"	"'d"	"furnish"
5593436	"1830s"	1830	"I"	"'d"	"root"
5593945	"1830s"	1830	"I"	"'d"	"see"
5599378	"1830s"	1830	"I"	"'d"	"like"
5603717	"1830s"	1830	"she"	"'d"	"be"
5620717	"1830s"	1830	"I"	"'d"	"think"
5634586	"1830s"	1830	"I"	"'d"	"crush"
5638240	"1830s"	1830	"you"	"'d"	"close"
5642673	"1830s"	1830	"I"	"'d"	"have"
5647172	"1830s"	1830	"I"	"'d"	"undergo"
5649092	"1830s"	1830	"I"	"'d"	"swear"
5845067	"1830s"	1831	"I"	"'d"	"come"
5872118	"1830s"	1831	"he"	"'d"	"take"
5877888	"1830s"	1831	"I"	"'d"	"bathe"
5913249	"1830s"	1831	"I"	"'d"	"fly"
5919162	"1830s"	1831	"I"	"'d"	"give"
5919194	"1830s"	1831	"I"	"'d"	"lay"
5919260	"1830s"	1831	"I"	"'d"	"watch"
5919295	"1830s"	1831	"I"	"'d"	"bare"
5930435	"1830s"	1831	"I"	"'d"	"have"
5931357	"1830s"	1831	"they"	"'d"	"meet"
6087016	"1830s"	1832	"I"	"'d"	"be"
6087218	"1830s"	1832	"you"	"'d"	"get"
6099374	"1830s"	1832	"they"	"'d"	"make"
6166889	"1830s"	1832	"you"	"'d"	"like"
6168538	"1830s"	1832	"he"	"'d"	"get"
6292912	"1830s"	1832	"you"	"'d"	"sacrifice"
6331258	"1830s"	1832	"I"	"'d"	"take"
6337695	"1830s"	1832	"I"	"'d"	"live"
6369771	"1830s"	1832	"I"	"'d"	"have"
6371652	"1830s"	1832	"you"	"'d"	"make"
6373963	"1830s"	1832	"she"	"'d"	"have"
6374508	"1830s"	1832	"she"	"'d"	"refuse"
6379942	"1830s"	1832	"I"	"'d"	"have"
6381686	"1830s"	1832	"I"	"'d"	"have"
6382065	"1830s"	1832	"I"	"'d"	"have"
6386205	"1830s"	1832	"I"	"'d"	"have"
6388456	"1830s"	1832	"I"	"'d"	"have"
6409182	"1830s"	1832	"you"	"'d"	"believe"
6416093	"1830s"	1832	"I"	"'d"	"take"
6441622	"1830s"	1832	"you"	"'d"	"preach"
6441785	"1830s"	1832	"I"	"'d"	"hate"
6445098	"1830s"	1832	"he"	"'d"	"pace"
6464921	"1830s"	1832	"you"	"'d"	"cast"
6468527	"1830s"	1832	"she"	"'d"	"think"
6523472	"1830s"	1833	"she"	"'d"	"have"
6523843	"1830s"	1833	"who"	"'d"	"refuse"
6524018	"1830s"	1833	"he"	"'d"	"say"
6527151	"1830s"	1833	"he"	"'d"	"take"
6529461	"1830s"	1833	"you"	"'d"	"wish"
6533077	"1830s"	1833	"he"	"'d"	"look"
6533300	"1830s"	1833	"she"	"'d"	"look"
6533396	"1830s"	1833	"she"	"'d"	"shriek"
6536294	"1830s"	1833	"they"	"'d"	"reap"
6536548	"1830s"	1833	"who"	"'d"	"win"
6548931	"1830s"	1833	"I"	"'d"	"have"
6549095	"1830s"	1833	"I"	"'d"	"toil"
6560627	"1830s"	1833	"I"	"'d"	"stand"
6560646	"1830s"	1833	"I"	"'d"	"nod"
6562541	"1830s"	1833	"I"	"'d"	"go"
6629006	"1830s"	1833	"they"	"'d"	"feed"
6732258	"1830s"	1833	"you"	"'d"	"be"
6805281	"1830s"	1833	"you"	"'d"	"be"
6807762	"1830s"	1833	"you"	"'d"	"like"
6810976	"1830s"	1833	"he"	"'d"	"come"
6818895	"1830s"	1833	"he"	"'d"	"be"
6821529	"1830s"	1833	"you"	"'d"	"want"
6821549	"1830s"	1833	"you"	"'d"	"be"
6823255	"1830s"	1833	"you"	"'d"	"come"
6824931	"1830s"	1833	"I"	"'d"	"have"
6825105	"1830s"	1833	"they"	"'d"	"give"
6827307	"1830s"	1833	"you"	"'d"	"like"
6832870	"1830s"	1833	"you"	"'d"	"have"
6833594	"1830s"	1833	"he"	"'d"	"be"
6835154	"1830s"	1833	"he"	"'d"	"find"
6835388	"1830s"	1833	"she"	"'d"	"come"
6835757	"1830s"	1833	"you"	"'d"	"have"
6837771	"1830s"	1833	"you"	"'d"	"consider"
6837890	"1830s"	1833	"you"	"'d"	"do"
6840033	"1830s"	1833	"you"	"'d"	"have"
6845795	"1830s"	1833	"I"	"'d"	"wager"
6854973	"1830s"	1833	"I"	"'d"	"swear"
6888268	"1830s"	1833	"you"	"'d"	"think"
6914574	"1830s"	1833	"I"	"'d"	"swear"
6946065	"1830s"	1833	"he"	"'d"	"let"
6946132	"1830s"	1833	"he"	"'d"	"accept"
6948513	"1830s"	1833	"I"	"'d"	"put"
6948596	"1830s"	1833	"he"	"'d"	"give"
6953490	"1830s"	1833	"you"	"'d"	"stare"
6955961	"1830s"	1833	"you"	"'d"	"be"
6956817	"1830s"	1833	"you"	"'d"	"make"
6957285	"1830s"	1833	"I"	"'d"	"trade"
6957409	"1830s"	1833	"he"	"'d"	"try"
6957512	"1830s"	1833	"I"	"'d"	"go"
6957545	"1830s"	1833	"I"	"'d"	"go"
6957926	"1830s"	1833	"I"	"'d"	"get"
6961528	"1830s"	1833	"they"	"'d"	"be"
6966439	"1830s"	1833	"they"	"'d"	"lay"
6966625	"1830s"	1833	"they"	"'d"	"try"
6969671	"1830s"	1833	"I"	"'d"	"give"
6972861	"1830s"	1833	"you"	"'d"	"like"
6977443	"1830s"	1833	"we"	"'d"	"have"
6979693	"1830s"	1833	"they"	"'d"	"take"
6981286	"1830s"	1833	"they"	"'d"	"put"
6981430	"1830s"	1833	"they"	"'d"	"fret"
6981494	"1830s"	1833	"they"	"'d"	"come"
6984096	"1830s"	1833	"I"	"'d"	"try"
6984724	"1830s"	1833	"they"	"'d"	"fight"
6984733	"1830s"	1833	"they"	"'d"	"take"
6984795	"1830s"	1833	"they"	"'d"	"take"
6984803	"1830s"	1833	"they"	"'d"	"fight"
6985987	"1830s"	1833	"they"	"'d"	"pour"
6987236	"1830s"	1833	"you"	"'d"	"call"
6991918	"1830s"	1833	"he"	"'d"	"have"
6993423	"1830s"	1833	"he"	"'d"	"fight"
6993507	"1830s"	1833	"he"	"'d"	"flog"
6993806	"1830s"	1833	"I"	"'d"	"put"
6995050	"1830s"	1833	"I"	"'d"	"have"
6998369	"1830s"	1833	"they"	"'d"	"eat"
6998491	"1830s"	1833	"he"	"'d"	"fight"
7005475	"1830s"	1833	"he"	"'d"	"resign"
7010958	"1830s"	1833	"he"	"'d"	"cut"
7013373	"1830s"	1833	"I"	"'d"	"take"
7013628	"1830s"	1833	"they"	"'d"	"cut"
7017415	"1830s"	1833	"he"	"'d"	"nod"
7018502	"1830s"	1833	"I"	"'d"	"catch"
7018594	"1830s"	1833	"he"	"'d"	"kick"
7021843	"1830s"	1833	"I"	"'d"	"set"
7026865	"1830s"	1833	"he"	"'d"	"come"
7028365	"1830s"	1833	"we"	"'d"	"have"
7028400	"1830s"	1833	"he"	"'d"	"conclude"
7028421	"1830s"	1833	"they"	"'d"	"amind"
7028973	"1830s"	1833	"they"	"'d"	"be"
7028985	"1830s"	1833	"there"	"'d"	"be"
7030362	"1830s"	1833	"I"	"'d"	"go"
7034473	"1830s"	1833	"they"	"'d"	"do"
7036714	"1830s"	1833	"we"	"'d"	"put"
7037762	"1830s"	1833	"I"	"'d"	"like"
7043645	"1830s"	1833	"we"	"'d"	"find"
7046018	"1830s"	1833	"us"	"'d"	"disguise"
7090589	"1830s"	1834	"you"	"'d"	"know"
7090602	"1830s"	1834	"he"	"'d"	"ask"
7116476	"1830s"	1834	"you"	"'d"	"bring"
7116780	"1830s"	1834	"who"	"'d"	"have"
7139088	"1830s"	1834	"I"	"'d"	"like"
7199102	"1830s"	1834	"he"	"'d"	"make"
7199667	"1830s"	1834	"I"	"'d"	"like"
7199914	"1830s"	1834	"I"	"'d"	"get"
7200294	"1830s"	1834	"you"	"'d"	"hear"
7200313	"1830s"	1834	"you"	"'d"	"think"
7228850	"1830s"	1834	"he"	"'d"	"stand"
7235376	"1830s"	1834	"I"	"'d"	"have"
7245904	"1830s"	1834	"I"	"'d"	"go"
7247807	"1830s"	1834	"I"	"'d"	"like"
7247960	"1830s"	1834	"I"	"'d"	"like"
7262115	"1830s"	1834	"I"	"'d"	"like"
7262755	"1830s"	1834	"I"	"'d"	"like"
7262770	"1830s"	1834	"he"	"'d"	"break"
7275293	"1830s"	1834	"I"	"'d"	"like"
7277707	"1830s"	1834	"you"	"'d"	"like"
7409564	"1830s"	1834	"I"	"'d"	"be"
7435272	"1830s"	1834	"he"	"'d"	"live"
7595499	"1830s"	1834	"he"	"'d"	"see"
7596309	"1830s"	1834	"I"	"'d"	"go"
7598336	"1830s"	1834	"he"	"'d"	"like"
7598507	"1830s"	1834	"he"	"'d"	"put"
7598831	"1830s"	1834	"he"	"'d"	"put"
7599514	"1830s"	1834	"I"	"'d"	"swear"
7600365	"1830s"	1834	"he"	"'d"	"beat"
7602146	"1830s"	1834	"they"	"'d"	"do"
7605201	"1830s"	1834	"we"	"'d"	"put"
7606295	"1830s"	1834	"he"	"'d"	"be"
7606356	"1830s"	1834	"he"	"'d"	"like"
7610439	"1830s"	1834	"he"	"'d"	"crack"
7611460	"1830s"	1834	"you"	"'d"	"see"
7612134	"1830s"	1834	"he"	"'d"	"do"
7612338	"1830s"	1834	"I"	"'d"	"go"
7612665	"1830s"	1834	"he"	"'d"	"do"
7613641	"1830s"	1834	"I"	"'d"	"stick"
7615762	"1830s"	1834	"he"	"'d"	"do"
7616181	"1830s"	1834	"I"	"'d"	"put"
7617026	"1830s"	1834	"I"	"'d"	"take"
7618145	"1830s"	1834	"he"	"'d"	"stand"
7623630	"1830s"	1834	"I"	"'d"	"try"
7623878	"1830s"	1834	"I"	"'d"	"get"
7626235	"1830s"	1834	"I"	"'d"	"give"
7628014	"1830s"	1834	"he"	"'d"	"put"
7634782	"1830s"	1834	"they"	"'d"	"turn"
7635121	"1830s"	1834	"they"	"'d"	"keep"
7638905	"1830s"	1834	"you"	"'d"	"try"
7639833	"1830s"	1834	"he"	"'d"	"calculate"
7643430	"1830s"	1834	"I"	"'d"	"have"
7643711	"1830s"	1834	"I"	"'d"	"look"
7643972	"1830s"	1834	"I"	"'d"	"let"
7644603	"1830s"	1834	"I"	"'d"	"stake"
7645536	"1830s"	1834	"I"	"'d"	"find"
7645544	"1830s"	1834	"I"	"'d"	"spread"
7646069	"1830s"	1834	"I"	"'d"	"hear"
7648760	"1830s"	1834	"they"	"'d"	"begin"
7649150	"1830s"	1834	"we"	"'d"	"raise"
7649445	"1830s"	1834	"I"	"'d"	"write"
7650572	"1830s"	1834	"he"	"'d"	"put"
7651895	"1830s"	1834	"he"	"'d"	"come"
7654047	"1830s"	1834	"he"	"'d"	"like"
7654282	"1830s"	1834	"I"	"'d"	"advise"
7766584	"1830s"	1834	"they"	"'d"	"fetch"
7766615	"1830s"	1834	"you"	"'d"	"stare"
7768358	"1830s"	1834	"I"	"'d"	"trade"
7768479	"1830s"	1834	"he"	"'d"	"try"
7768581	"1830s"	1834	"I"	"'d"	"go"
7768614	"1830s"	1834	"I"	"'d"	"go"
7771220	"1830s"	1834	"they"	"'d"	"be"
7771558	"1830s"	1834	"they"	"'d"	"make"
7775211	"1830s"	1834	"they"	"'d"	"lay"
7775396	"1830s"	1834	"they"	"'d"	"try"
7778380	"1830s"	1834	"I"	"'d"	"give"
7779007	"1830s"	1834	"they"	"'d"	"be"
7779628	"1830s"	1834	"you"	"'d"	"like"
7784099	"1830s"	1834	"I"	"'d"	"try"
7784306	"1830s"	1834	"they"	"'d"	"tare"
7784722	"1830s"	1834	"they"	"'d"	"fight"
7784731	"1830s"	1834	"they"	"'d"	"take"
7784793	"1830s"	1834	"they"	"'d"	"take"
7784801	"1830s"	1834	"they"	"'d"	"fight"
7786000	"1830s"	1834	"they"	"'d"	"pour"
7786231	"1830s"	1834	"they"	"'d"	"make"
7787252	"1830s"	1834	"you"	"'d"	"call"
7790942	"1830s"	1834	"he"	"'d"	"have"
7792450	"1830s"	1834	"he"	"'d"	"fight"
7792534	"1830s"	1834	"he"	"'d"	"flog"
7792830	"1830s"	1834	"I"	"'d"	"put"
7797030	"1830s"	1834	"they"	"'d"	"eat"
7797152	"1830s"	1834	"he"	"'d"	"fight"
7804112	"1830s"	1834	"he"	"'d"	"resign"
7809582	"1830s"	1834	"he"	"'d"	"cut"
7811718	"1830s"	1834	"they"	"'d"	"settle"
7812072	"1830s"	1834	"I"	"'d"	"take"
7812328	"1830s"	1834	"they"	"'d"	"cut"
7816106	"1830s"	1834	"he"	"'d"	"nod"
7817078	"1830s"	1834	"I"	"'d"	"catch"
7817169	"1830s"	1834	"he"	"'d"	"kick"
7818711	"1830s"	1834	"I"	"'d"	"set"
7823045	"1830s"	1834	"he"	"'d"	"come"
7824415	"1830s"	1834	"we"	"'d"	"have"
7824450	"1830s"	1834	"he"	"'d"	"conclude"
7824478	"1830s"	1834	"we"	"'d"	"go"
7825023	"1830s"	1834	"they"	"'d"	"be"
7825035	"1830s"	1834	"there"	"'d"	"be"
